Date	Molecular (PCR) Positive Cases by Specimen Date	Antigen Positive Cases by Specimen Date	Total Cases That Were Reinfections	Deaths by Date of Death
06/05/2023	128	58	36	1
05/05/2023	207	92	71	0
04/05/2023	213	90	72	0
03/05/2023	243	120	99	0
02/05/2023	253	100	91	0
01/05/2023	300	152	129	1
30/04/2023	162	55	54	5
29/04/2023	168	59	37	0
28/04/2023	193	105	69	0
27/04/2023	252	120	92	0
26/04/2023	250	114	97	4
25/04/2023	265	130	119	1
24/04/2023	260	183	111	1
23/04/2023	137	74	67	1
22/04/2023	147	58	43	2
21/04/2023	241	102	93	1
20/04/2023	228	89	84	3
19/04/2023	269	135	104	1
18/04/2023	269	136	105	0
17/04/2023	365	174	133	3
16/04/2023	157	86	55	1
15/04/2023	173	86	58	7
14/04/2023	256	120	102	2
13/04/2023	265	147	91	2
12/04/2023	281	107	86	4
11/04/2023	292	139	101	2
10/04/2023	342	163	117	2
09/04/2023	133	55	40	5
08/04/2023	157	67	39	5
07/04/2023	229	107	81	3
06/04/2023	301	159	134	1
05/04/2023	307	115	100	1
04/04/2023	341	161	120	5
03/04/2023	395	198	148	3
02/04/2023	221	71	68	8
01/04/2023	235	61	75	5
31/03/2023	347	124	107	5
30/03/2023	338	179	121	8
29/03/2023	442	182	151	5
28/03/2023	419	196	149	2
27/03/2023	496	231	179	4
26/03/2023	249	122	93	4
25/03/2023	249	90	80	9
24/03/2023	411	200	119	2
23/03/2023	447	204	148	5
22/03/2023	501	204	176	6
21/03/2023	459	241	175	4
20/03/2023	510	192	174	2
19/03/2023	271	119	87	9
18/03/2023	252	116	87	6
17/03/2023	396	197	145	3
16/03/2023	385	237	160	8
15/03/2023	511	219	193	9
14/03/2023	460	205	152	2
13/03/2023	504	254	191	10
12/03/2023	266	95	74	7
11/03/2023	242	110	81	5
10/03/2023	427	208	143	7
09/03/2023	446	188	132	13
08/03/2023	458	199	146	6
07/03/2023	564	218	180	7
06/03/2023	518	259	188	9
05/03/2023	330	126	104	10
04/03/2023	312	117	102	6
03/03/2023	494	221	157	5
02/03/2023	600	235	211	8
01/03/2023	595	294	190	7
28/02/2023	767	296	242	10
27/02/2023	773	393	267	6
26/02/2023	374	145	115	6
25/02/2023	464	152	137	6
24/02/2023	752	270	261	2
23/02/2023	816	338	269	9
22/02/2023	928	352	316	17
21/02/2023	"1,033"	422	341	9
20/02/2023	"1,036"	483	384	13
19/02/2023	532	214	160	7
18/02/2023	545	201	158	8
17/02/2023	979	360	298	6
16/02/2023	"1,107"	454	395	7
15/02/2023	"1,145"	493	398	12
14/02/2023	"1,154"	463	371	3
13/02/2023	"1,302"	648	522	7
12/02/2023	610	251	198	12
11/02/2023	667	238	185	8
10/02/2023	"1,125"	429	361	10
09/02/2023	"1,279"	541	428	15
08/02/2023	"1,367"	533	439	12
07/02/2023	"1,513"	602	486	8
06/02/2023	"1,579"	724	589	10
05/02/2023	685	264	221	13
04/02/2023	656	265	231	11
03/02/2023	"1,177"	472	395	18
02/02/2023	"1,285"	585	478	14
01/02/2023	"1,533"	657	525	14
31/01/2023	"1,511"	689	490	16
30/01/2023	"1,740"	701	581	13
29/01/2023	762	315	223	6
28/01/2023	822	299	252	13
27/01/2023	"1,238"	529	391	5
26/01/2023	"1,409"	650	512	7
25/01/2023	"1,532"	655	546	21
24/01/2023	"1,561"	651	510	15
23/01/2023	"1,752"	772	602	20
22/01/2023	828	320	299	21
21/01/2023	898	331	282	20
20/01/2023	"1,438"	583	418	13
19/01/2023	"1,568"	551	484	13
18/01/2023	"1,725"	711	560	16
17/01/2023	"1,929"	771	624	10
16/01/2023	"1,411"	671	468	23
15/01/2023	835	319	237	21
14/01/2023	923	328	279	20
13/01/2023	"1,439"	573	452	17
12/01/2023	"1,653"	698	554	14
11/01/2023	"1,831"	756	593	27
10/01/2023	"1,930"	787	564	19
09/01/2023	"2,292"	957	798	17
08/01/2023	985	438	292	23
07/01/2023	"1,216"	393	281	24
06/01/2023	"2,214"	809	612	15
05/01/2023	"2,450"	965	794	20
04/01/2023	"3,012"	"1,234"	920	28
03/01/2023	"3,181"	"1,351"	994	22
02/01/2023	"2,487"	"1,160"	822	23
01/01/2023	"1,136"	445	303	14
31/12/2022	"1,660"	667	478	15
30/12/2022	"2,776"	"1,225"	837	18
29/12/2022	"3,118"	"1,319"	945	18
28/12/2022	"3,129"	"1,411"	975	11
27/12/2022	"3,051"	"1,396"	970	11
26/12/2022	"2,122"	"1,203"	711	19
25/12/2022	733	243	174	13
24/12/2022	"1,133"	500	298	13
23/12/2022	"1,926"	916	555	13
22/12/2022	"2,448"	"1,100"	757	9
21/12/2022	"2,669"	"1,156"	798	14
20/12/2022	"2,626"	"1,130"	826	18
19/12/2022	"2,705"	"1,193"	871	11
18/12/2022	"1,209"	537	372	10
