date	Aggie.V4.rep1	Aggie.V4.rep2	Aggie.V4.rep3	Aggie.V4-AS.rep1	Aggie.V4-AS.rep2	Aggie.V4-AS.rep3	Barbee.rep1	Barbee.rep2	Barbee.rep3	Barbee-AS.rep1	Barbee-AS.rep2	Barbee-AS.rep3	Morrow.rep1	Morrow.rep2	Morrow.rep3	Holland.rep1	Holland.rep2	Holland.rep3	Aggie.V1.rep1	Aggie.V1.rep2	Aggie.V1.rep3	Aggie.V3.rep1	Aggie.V3.rep2	Aggie.V3.rep3	Aggie.VE.rep1	Aggie.VE.rep2	Aggie.VE.rep3	Haley.rep1	Haley.rep2	Haley.rep3	Cooper.rep1	Cooper.rep2	Cooper.rep3	Pride.rep1	Pride.rep2	Pride.rep3	Aggie.V6.rep1	Aggie.V6.rep2	Aggie.V6.rep3
1/6/22	1857465264	1128873891	2073822739	2570521344	2476673884	1809836117	65831000000	61050000000	58607000000	142330000000	112630000000	10912000000	6049710275	6843549480	7759304710	98562981	109885610	124910117	15736000000	13355000000	16510000000	12243000000	8578473589	226759970	2097526367	1813419068	3021609761	65266000000	68885000000	80074000000	6253027347	52563000000	52827000000	94820000000	155280000000	17387000000	8127104103	6777027272	9794684044
1/11/22	49479000000	29027000000	52110000000	9149858315	16180000000	26084000000	61143000000	74478000000	73763000000	125230000000	69236000000	46063000000	8833684581	13269000000	33409000000	148580000000	156230000000	130570000000	911834033	7593381469	10359000000	83328564	13459000000	7200834361	10583000000	7681281727	15441000000	60982000000	66119000000	33987000000	38603000000	17634000000	34133000000	16683000000	19240000000	12854000000			
1/13/22	7028595877	1399100000000	1381900000000	750390000000	720650000000	734790000000	217380000000	291500000000	225990000000	162760000000	170700000000	85382000000	8847300000000	13008000000	1040683719	126990000000	117700000000	132020000000	363690000000	432560000000	324000000000	334790000000	844200000000	317510000000	220910000000	188610000000	279580000000	12578000000000	14046000000000	14452000000000	748030000000	611280000000	371320000000	384230000000	354090000000	268990000000	2.37E+12	2.35E+12	7.88E+11
1/25/22				524299108	1445014114	1853404793	10197000000	10964000000	13576000000	22961000000	2358545436	3112212589	1069140586	1508106201	852929058	197590000000	245540000000	208790000000	5126453993	4095943691	5884524998	61298000000	12109000000	57546000000	27640000000	44178000000	58647000000	14382000000	57955000000	49263000000	37330000000	31090000000	36316000000	68040000000	48958000000	10428000000		28723000000	20335000000
1/27/22	2310806427	2569015747	5585592955	6928016124	12431000000	2872051646	3678799299	17461000000	15796000000	17759000000	11828000000	3942720128	12879000000	1605700000000	1493400000000	20083000000	26711000000	35657000000	195308808	1272789993	2272714019	13988000000	23223000000	3561785596	4693529330	980048739	14411000000	10214000000	8109796532	5195054609	41789000000	47132000000	53822000000	278360000000	129170000000	158850000000	4899583272	4672216061	1964042304
2/1/22	45239897989	487655618	53953972308	105364000000	234639000000	359805000000	58625966	7241388232	10996040247	4478049845	5350850607	413544334	3739778620	5333039625	8390969986	129609482	128815057	308545629	42380878213	52309650035	25204868276	12587687877	9187760120	4251940113	2091271945	2431254809	1580971964	33208871357	71778645098	97904352998	78997019437	82073237440	68269411367	52070621913	60438040004	3881732932	47981465521	50354497914	49950157562
2/3/22	1749319319	11849000000	16186000000	23567000000	21692000000	16547000000	11074000000	7262350810	11726000000		4178187844	1002581558	3963838308	8160732511	7290131346	281730049	774332122	1133396261	20506000000	41708000000	45612000000	6249701567	4101311265	2758730887	1653895696	2549869134	2355969743	4542033979	16044000000	6110193395	29049000000	28247000000	29461000000	102380000000	99092000000	88319000000		21685000000	20217000000
2/10/22	35472118078	43856479033	48543792605	25593366484	22109701056	26612810272	40235085049	40655866022	5767018	48623355616	106798000000	50694619585	78018131902	75761946932	76456308359	5693405841	3199408222	7984198711	21288033373	36166522612	38194451500	2843703254	11206866131	1749554114	892961983	1219304842	319906690	64656777559	63842570431	4134505491	120947000000	114742000000	133735000000	4043000947	57661481948	65965253134	33782427567	31296707493	26725298154
2/17/22	7949772909	3134362657	2123701857	774664488	17748000000	1145475846	686026330	2218822110	1022559227	377576408	237183434	3772099	3139490	3052137	112523519	495967196	11585312	17606367	80631784	2095927417	173237433	126352350	218130873	35270527	19182000000	62748000000	208540000000000000	53402452	856332746	7348991	208540000000000000	327762495	368276152	566017483	1015054192	594430499	16842116.8	614371369	3405182254
3/1/22	11421000000	21730000000	24963000000	1035500000000	1459400000000	706180000000	14252000000	18665000000	24108000000	1064300000000	542150000000	487520000000	175030000000	122380000000	168950000000	23683000000	21177000000	22738000000	83938000000	3692661	108460000000	1043658443	1046624327	616145878	358880000000	454970000000	609810000000	4589247659	4108321166	5722742844	77938000000	71881000000	50159000000	11499000000000	8163800000000	5846900000000	30791000000	27089000000	21854000000
