date	Aggie.V4.rep1	Aggie.V4.rep2	Aggie.V4.rep3	Aggie.V4.AS.rep1	Aggie.V4.AS.rep2	Aggie.V4.AS.rep3	Barbee.rep1	Barbee.rep2	Barbee.rep3	Barbee.AS.rep1	Barbee.AS.rep2	Barbee.AS.rep3	Morrow.rep1	Morrow.rep2	Morrow.rep3	Holland.rep1	Holland.rep2	Holland.rep3	Aggie.V1.rep1	Aggie.V1.rep2	Aggie.V1.rep3	Aggie.V3.rep1	Aggie.V3.rep2	Aggie.V3.rep3	Aggie.VE.rep1	Aggie.VE.rep2	Aggie.VE.rep3	Haley.rep1	Haley.rep2	Haley.rep3	Cooper.rep1	Cooper.rep2	Cooper.rep3	Pride.rep1	Pride.rep2	Pride.rep3
1/5/23	4310581309	5209262579	4613824833	4689755542	6949992330	4785513449	71507000000	49989000000	13761000000	24353000000	9210343155	7602993912	9734690673	7227858913	8032073967	9217029599		7422160869	2661786601	4550253497	4667360718	1590262123	4399778097	4582937420	470762466	365443749	488817001	417472681	1640857339	1513119028	24402000000	22798000000	24587000000		616638140	1855163910
1/6/23	18508000000		27836000000		16341000000	15388000000	4194212097	23665000000	23258000000		11394000000	9191863188	6164855315	7066983063	7567602899		8306225594	9447902242		12190000000		3176601042	3441097122	1883195572	10422000000	11809000000	8244831933	2297576471		2199727519	9727916404	8512062683	8169614991	1028417679	1988349958	1801826132
1/10/23	1.00443E+11	1.35472E+11	1.54419E+11	1.90201E+11	1.73666E+11	1.85498E+11	5.42038E+11	7.90506E+11	7.71675E+11	5.34386E+11	4.1545E+11	4.20656E+11	3.62808E+11	4.03109E+11	3.89026E+11	1.11179E+11	5506613015	1.04158E+11	60737591290	38485208886	60388877819	14883055303	11230896589	12494362435	4019440282	4822304786	3833656331	72600112571	8096994486	1.02425E+11	54939417215	40457018961	35926711826	2.97267E+11	3.21348E+11	1.18885E+11
1/12/23	34022000000	37517000000	47776000000	26274000000	2836943120	25953000000	72745000000	62391000000	48928000000	39174000000	43988000000	6101751698	39773000000	57981000000	54904000000		715425308	3901473033	29882000000	36848000000	22026000000	39808000000	41452000000	11361000000	92006000000	1.2211E+11	1.4353E+11	1.1616E+11	57020000000	1.088E+11	4.696E+11	5.4319E+11	4.3735E+11	84085000000	96732000000	25374000000
1/17/23	9489095598	22952453266	15786215888	15489783911	19716400935	11245668246	20616035444	15491745719	18782326436	11946334079	5580619429	6619464982	2184329171	3166938486	5084405038	2055249	834561	3613206	686507432	756573671	1290895773	3075653997	3709098898	2400080192	5308713123	6805020384	8800098425	347338540	193604702	270577201	7951273946	13727329774	9106439230	8229572940	6562287934	6011020564
1/19/23	7894151	4502136	5926034	14599000000	15834000000	12123000000	9321328199	11803000000	12852000000	15982000000	20776000000	15361000000	12224000000	16014000000	23200000000	14085526	9588927	8969004	1.9406E+11	1.7567E+11	1.8816E+11	18665000000	22638000000	10696000000	1479888504	1961563908	1988200822	2867041307	2611622792	1302356381	37393000000	26716000000	26748000000	1785294348	1607136733	867880776
1/24/23	21941820044	1.49379E+11	13654064366	6.90571E+11	7.20225E+11	5.96224E+11	1.09502E+11	1.1499E+11	1.22761E+11	21342545677	31968477037	95032370620	2770583	0	114453	4.41994E+11	6.78258E+11	4.05465E+11	96025525115	77184910181	2.40314E+11	4.29557E+11	1.26887E+12	7.45459E+11	5.32141E+11	4.04507E+11	7.73868E+11	1.76453E+11	1.76284E+11	1.28677E+11	4.91899E+11	17392196	4.30721E+11	1.20719E+11	1.66332E+11	46048312101
1/31/23	9.8626E+11	2.2325E+11	5.7606E+11	3.3268E+11	5.6682E+11	6.7795E+11	1.3651E+13	1.547E+13	1.6971E+13	1.44E+12	1.039E+12	8.6397E+11	2.7067E+12	2.4538E+12	3.0084E+12	10057000000	8972298260	10131000000	2.213E+13	2.3595E+13	6.6955E+12	8406573956	13932000000	5915388464	519507767	83812137	54515164	6072142995	12553000000	8910221554	2.7618E+11	3.4669E+11	2.9088E+11	5507477417	4375575486	
2/3/23	1694225084	1523196739	1788489445	1070825422	1481598454	349401471	974082934	2016868970	3078428642	9958551	14084270	8917459	3234675145	4295382886	4464717294	1129311471	1148806758	1270436977	240577336	71165280	252946351	1127902123	2475189653	652823364	241719	272657	28882	10736717577	13099991301	12922755245	18225795477	18182459942	30646485980	3294349637	2508554454	1029603064
2/6/23						1.41307E+14	564296568	605177609	394358039							7550666943	8574092283	15990956152	1523907059	3410763919	3035526216	3307373863	4290426692	1628960566	6607591868	4085734535	12943186723	26863306685	17016611774	33639046432		23452		4234110289	6616898542	2393304596
