date	SARS-CoV-2.means	PMMoV.means	ratio.SARStoPMMoV
01/06/2022	1209596551	31977791595	0.037826144
01/11/2022	25569837.6	41565976756	0.000615163
01/13/2022	90624961.9	1.73626E+12	5.21955E-05
01/25/2022	4965559.95	40988744684	0.000121144
01/27/2022	8700489.31	1.13744E+11	7.64919E-05
02/01/2022	2398965.51	42963772114	5.58369E-05
02/03/2022	5.4854E+15	19405065880	282678.762
02/10/2022	4822704.21	41109186586	0.000117315
02/17/2022	118915538	1.15856E+16	1.02641E-08
03/01/2022	33364.3851	9.24639E+11	3.60837E-08
03/03/2022	8880.41523	1.65982E+12	5.35023E-09
03/15/2022	6030896.97	1.25412E+11	4.80887E-05
04/05/2022	12369942.9	1.52607E+11	8.10575E-05
04/07/2022	37691289.7	1.39445E+12	2.70295E-05
04/12/2022	310377005	59291053141	0.005234803
04/14/2022	198188495	18516532161	0.010703327
04/19/2022	3436941062	71947737944	0.047769967
04/20/2022	2445541114	6.43058E+11	0.003802987
04/28/2022	7208156.56	1.44007E+12	5.00542E-06
05/03/2022	75692.7113	1.5E+11	5.04618E-07
05/05/2022	19899.8388	26000000000	7.65378E-07
05/10/2022	936727.619	45000000000	2.08162E-05
05/12/2022	531913.652	2000000000	0.000265957
06/01/2022	63275825.2	1.9E+12	3.33031E-05
06/06/2022	1107845.59	51000000000	2.17225E-05
06/13/2022	45144097.3	1.7E+11	0.000265554
06/20/2022	672897732	53000000000	0.012696184
07/01/2022	17278.1187	32000000000	5.39941E-07
07/05/2022	3218870.34	21000000000	0.00015328
07/12/2022	703867812	71000000000	0.009913631
07/25/2022	1285537.27	1.6E+11	8.03461E-06
08/08/2022	1748132.75	33000000000	5.29737E-05
08/16/2022	1759220.59	48000000000	3.66504E-05
08/17/2022	23898385	72000000000	0.000331922
08/22/2022	19292257.4	17000000000	0.001134839
08/24/2022	502362862	23000000000	0.021841864
08/29/2022	47241500.1	41000000000	0.001152232
08/31/2022	120590178	8700000000	0.01386094
09/07/2022	50877311.5	1.4E+11	0.000363409
09/08/2022	2457652.66	27000000000	9.10242E-05
09/12/2022	3803373.11	23000000000	0.000165364
09/14/2022	6477417.35	15000000000	0.000431828
10/03/2022	60290905.8	2.3E+11	0.000262134
10/05/2022	187278364	3.4E+11	0.000550819
10/12/2022	54656103.2	3E+12	1.82187E-05
10/13/2022	120395880	6.2E+12	1.94187E-05
10/17/2022	3548058.94	23000000000	0.000154263
10/19/2022	2511450.26	24000000000	0.000104644
10/24/2022	81949490.9	28000000000	0.002926768
10/26/2022	18879150.9	27000000000	0.000699228
10/31/2022	301408428	20000000000	0.015070421
11/01/2022	361825.025	47000000000	7.6984E-06
11/08/2022	1495830.26	92000000000	1.6259E-05
11/10/2022	619741.679	17000000000	3.64554E-05
11/14/2022	2788286.99	31000000000	8.99447E-05
11/16/2022	2255955.66	22000000000	0.000102543
11/28/2022	619718129	1.3E+11	0.004767063
11/30/2022	8174.52039	25000000000	3.26981E-07
12/05/2022	604925.715	39000000000	1.55109E-05
01/05/2023	1.3E+23	10300698056	1.26205E+13
01/06/2023	3.5E+23	9490409031	3.68793E+13
01/10/2023	18000000	1.95918E+11	9.18752E-05
01/12/2023	14000000	88066159805	0.000158971
01/17/2023	15127.8	7483066844	2.0216E-06
01/19/2023	33560.4	24926591099	1.34637E-06
01/24/2023	26000000	2.92177E+11	8.89872E-05
01/31/2023	140000000	3.26848E+12	4.28334E-05
02/03/2023	21000000	4028368556	0.005213028
02/06/2023	48954.6	6.15097E+12	7.95884E-09
02/07/2023	30840.1	14592934137	2.11336E-06
02/13/2023	32552.5	2.75522E+11	1.18148E-07
02/15/2023	11896.8	2.15561E+11	5.51899E-08
02/21/2023	1569609	2708000440	0.000579619
02/28/2023	8191511	41740716435	0.000196247
03/02/2023	190000000	15999659395	0.011875253
03/14/2023	5683755	36768406218	0.000154583
03/15/2023	2370020	4175691076	0.000567576
03/20/2023	24000000	1.13117E+11	0.00021217
03/22/2023	2604036	2.08431E+11	1.24935E-05
03/27/2023	340995	2.80759E+11	1.21455E-06
03/29/2023	62449	59637266701	1.04715E-06
04/03/2023	568668	2.4698E+11	2.30249E-06
04/05/2023	280119	55389818328	5.05723E-06
04/10/2023	870525	7514533385	0.000115846
04/12/2023	1094582	27812424987	3.93559E-05
04/17/2023	1.4E+11	72477304736	1.931639159
04/19/2023	771699	16793428283	4.59524E-05
04/24/2023	1158668	5.78355E+11	2.00339E-06
04/26/2023	284071	2.68351E+14	1.05858E-09
05/01/2023	25215844.8	9104091324	0.002769727
05/03/2023	262982.553	6959300157	3.77886E-05
05/07/2023	2643344.97	19318000000	0.000136833
05/08/2023	2240039.13	16249000000	0.000137857
05/15/2023	46702639.6	64994000000	0.000718568
06/01/2023	24017381.1	24910000000	0.000964166
06/07/2023	2463388.06	24960000000	9.86934E-05
06/20/2023	2482349.63	21350000000	0.000116269
06/28/2023	16143761.6	54010000000	0.000298903
10/19/2023	293788560	1.68919E+12	0.000173923
10/20/2023	48497002.3	30043618535	0.00161422
10/26/2023	44694857.3	1.22711E+11	0.000364229
10/27/2023	7984977.74	1149838750	0.006944433
11/09/2023	124.432929	9280422958	1.34081E-08
11/10/2023	995.493751	5.27413E+11	1.8875E-09
11/16/2023	72.097344	2.28007E+12	3.16207E-11
11/17/2023	2542.07971	97668187728	2.60277E-08
11/30/2023	882.413642	1.4716E+11	5.99629E-09
12/08/2023	34.8869784	1646058474	2.11943E-08
