date	Aggie V4	Aggie V4-AS	Barbee	Barbee-AS	Morrow	Holland	Aggie V1	Aggie V3	Aggie VE	Haley	Cooper	Pride	Aggie V6
01/19/2021	41514.55								2874.193333	9687.276667	1637.345		
01/21/2021	41741.175		381169.24		4577.865		76234.49667	214107.0667	219283.1367	1457564.737	430579.89	1517643.81	710602.9367
03/16/2021	726.1666667		50412.18333						880.965	26557.58333	4290.69	25092.65	6152.496667
03/23/2021	12820.30527		6164.380231		8135.051647		62010.56608	57030.29237	47830.01931	964597.5984	15829.16058	320693.9048	34362.53644
03/25/2021	302284.5		4134.8055		3255.563333		282622.9333	1249.98165	3016.477333	375070.6	148188.1333	198197.9667	37286.25333
03/30/2021	5796.9405		270709.45		12817.65887		2401.1892			71087.53067	131322.24	124283.8567	10982.78723
1/4/21	17625.73433		294453.7		61250.19					8889.5525			
6/4/21			3002.902828							218453.3346	11781.96305		
04/13/2021	80860.38		8090.6255		18381.25333		5097.422	2892.874333	23372.49	4796282.333	34913.63	2264721	656382.3667
04/15/2021	4376.130667		10637.59067		25818.77667		4322.72	2485.7435		6537960.333	3148.463	1441141.667	1416.81655
04/27/2021	3368.094		13387.60333		2692.885333				3870.408667	45124.13333	2110.290333	10834.96967	
04/29/2021	54476.51333		85359.56333		32022.71		161765.7333		13708.05	450998.1667	10316.68567	49944.99333	9374.688
4/5/21			65577.20867							47846.26	1773.11485	27315.14333	
6/5/21	14245.68333		13828.378		5544.726		3357.161		10103.12933	62722.54667	2180.780333	45760.01	2460.4965
11/5/21	2313.792		59477.375		19307.29667			6774.185		59309.79667		36183.15	26938.537
05/18/2021	30246.805		8892.9795		18203.61667		12877.62333	15007.96267			19476.53	17710.97	
05/25/2021			960.9859							16843.705			
3/6/21													
8/6/21													
06/15/2021			6637.925333										
06/29/2021			7683.491379										
6/7/21										61800.805			
07/13/2021							179350.5433	395425.1					
07/20/2021													
07/27/2021													
10/8/21			70733.33333	20550	28550								
08/17/2021			213039.2933	166862.8346			240068.594		1124445.261	5089542.429		6840836.774	
08/19/2021	4221474.025		8312166.582	901247.6987	1820602.425	384286.6743	199817.9042		1459658.846	20139779.65	5883652.662	1692878.507	
08/23/2021	7538781.613	7822458.797	9665000.283	6031629.697	2473184.903	126948630	145606.86	42699.4	497935.0733	857439.6733	1020130.07	161168810.3	6191913.267
08/25/2021	7809121.018	5081567.821	17905860.02	18089169.14	2859098.261	3090891.925		1047365.823	253709.4236	107030936.1	2643775.249	6004471.805	578770.3954
